symbol,smiles,cxsmiles,monomer_type
X749,COc1ccc(S(=O)(=O)NCC=O)cc1,COc1ccc(cc1)S(=O)(=O)N([*])CC([*])=O |$;;;;;;;;;;;;_R1;;;_R2;$|,Backbone
E_OMe,COC(=O)[C@@H](N)CCC(=O)O,COC(=O)[C@H](CCC(O)=O)N[*] |$;;;;;;;;;;;_R1$|,Backbone
L_OBzl,CC(C)C[C@H](N)C(=O)OCc1ccccc1,CC(C)C[C@H](N[*])C(=O)OCc1ccccc1 |$;;;;;;_R1;;;;;;;;;;$|,Backbone
X2248,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)c1nc2ccccc2[nH]1,[*]N[C@@H](Cc1c[nH]c2ccccc12)C(=O)c1nc2ccccc2[nH]1 |$_R1;;;;;;;;;;;;;;;;;;;;;;;$|,Backbone
dE,N[C@@H](C=O)CCC=O,[*]N[C@H](CCC([*])=O)C([*])=O |$_R1;;;;;;_R3;;;_R2;$|,Backbone
N,NC(=O)C[C@H](N)C=O,NC(=O)C[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,Backbone
E,N[C@H](C=O)CCC=O,[*]N[C@@H](CCC([*])=O)C([*])=O |$_R1;;;;;;_R3;;;_R2;$|,Backbone
X876,O=C[C@H](Cc1ccccc1)NC(=O)Nc1ccccc1,[*]C(=O)[C@H](Cc1ccccc1)NC(=O)Nc1ccccc1 |$_R2;;;;;;;;;;;;;;;;;;;;$|,Backbone
dTyr(Bzl),N[C@@H](C=O)Cc1ccc(OCc2ccccc2)cc1,[*]N[C@H](Cc1ccc(OCc2ccccc2)cc1)C([*])=O |$_R1;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X742,O=CCN1CCNCC1,[*]C(=O)CN1CCNCC1 |$_R2;;;;;;;;;$|,Backbone
Me_dR,CN[C@@H](C=O)CCCNC(=N)N,CN([*])[C@H](CCCNC(N)=N)C([*])=O |$;;_R1;;;;;;;;;;_R2;$|,Backbone
X960,O=C[C@@H]1C[C@@H](Cc2ccccc2)CN1,[*]N1C[C@H](Cc2ccccc2)C[C@H]1C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,Backbone
X1207,NC(=O)NCCCC[C@@H](N)C=O,NC(=O)NCCCC[C@@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone
X1093,CC(C)[C@H](N)C(=O)C(F)(F)CN,CC(C)[C@H](N[*])C(=O)C(F)(F)CN |$;;;;;_R1;;;;;;;$|,Backbone
X717,CCOC(=O)N[C@@H](C=O)CC(=O)c1ccccc1,CCOC(=O)N[C@H](CC(=O)c1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X864,O=C[C@H](CCC(=O)O)NCC1CCCCCC1,OC(=O)CC[C@H](NCC1CCCCCC1)C([*])=O |$;;;;;;;;;;;;;;;;_R2;$|,Backbone
X806,O=C[C@H](Cc1ccc(O)cc1)NCc1cccc(Oc2ccccc2)c1,Oc1ccc(C[C@H](NCc2cccc(Oc3ccccc3)c2)C([*])=O)cc1 |$;;;;;;;;;;;;;;;;;;;;;;;_R2;;;$|,Backbone
X1917,CCCCCC[C@H](C=O)NC,CCCCCC[C@@H](N(C)[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone
X2044,N[C@@H](C=O)Cc1ccc(Br)cc1,Brc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,Backbone
C_OMe,COC(=O)[C@@H](N)CS,COC(=O)[C@H](CS[*])N[*] |$;;;;;;;_R3;;_R1$|,Backbone
X2014,N[C@H](C=O)c1cccc([N+](=O)[O-])c1,[*]N[C@H](C([*])=O)c1cccc(c1)N(=O)=O |$_R1;;;;_R2;;;;;;;;;;$|,Backbone
X2050,CCN[C@@H](C=O)CCCNC(=N)N,CCN([*])[C@H](CCCNC(N)=N)C([*])=O |$;;;_R1;;;;;;;;;;_R2;$|,Backbone
X1953,NC(=O)N[C@H](C=O)Cc1ccc(O)cc1,NC(=O)N[C@@H](Cc1ccc(O)cc1)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone
Pen,CC(C)(S)[C@H](N)C=O,CC(C)(S[*])[C@H](N[*])C([*])=O |$;;;;_R3;;;_R1;;_R2;$|,Backbone
X2036,CCCCOc1ccc(C[C@H](N)C=O)cc1,CCCCOc1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;;_R1;;_R2;;;$|,Backbone
X2051,N[C@H](C=O)c1ccc(F)cc1,Fc1ccc(cc1)[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone
X2052,CN(C)c1ccc(CN[C@@H](C=O)CS)cc1,CN(C)c1ccc(CN[C@H](CS[*])C([*])=O)cc1 |$;;;;;;;;;;;;_R3;;_R2;;;$|,Backbone
X2027,C[C@@H](C=O)NCc1ccccc1,C[C@H](N([*])Cc1ccccc1)C([*])=O |$;;;_R1;;;;;;;;;_R2;$|,Backbone
X1832,C=CCOC[C@@H](N)C=O,[*]N[C@H](COCC=C)C([*])=O |$_R1;;;;;;;;;_R2;$|,Backbone
X1788,O=C[C@@H]1COCCN1,[*]N1CCOC[C@H]1C([*])=O |$_R1;;;;;;;;_R2;$|,Backbone
X1722,C=C(CCl)COC[C@@H](N)C=O,ClCC(=C)COC[C@@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone
X1723,O=C[C@H]1COCCN1,[*]N1CCOC[C@@H]1C([*])=O |$_R1;;;;;;;;_R2;$|,Backbone
Me_dOrn,CN[C@@H](C=O)CCCN,CN([*])[C@H](CCCN)C([*])=O |$;;_R1;;;;;;;_R2;$|,Backbone
