symbol,smiles,cxsmiles,monomer_type
X878,HN1C[C@H](CCCc2ccccc2)C[C@H]1C(H)=O,[*]N1C[C@H](CCCc2ccccc2)C[C@H]1C([*])=O |$_R1;;;;;;;;;;;;;;;;_R2;$|,Backbone
X743,O[C@H]1CCCC[C@]1(NH)C(H)=O,O[C@H]1CCCC[C@]1(N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone
X811,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](NH)C=O,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](N[*])C=O |$;;;;;;;;;;_R1;;$|,Backbone
X1114,CCOC(=O)[C@@H](CCCc1ccccc1)NH,CCOC(=O)[C@@H](CCCc1ccccc1)N[*] |$;;;;;;;;;;;;;;;;_R1$|,Backbone
X1091,OC(=O)[C@@H](Cc1ccc(O)c(O)c1)NH,OC(=O)[C@@H](Cc1ccc(O)c(O)c1)N[*] |$;;;;;;;;;;;;;;_R1$|,Backbone
X1118,CC(=O)O[C@@H]([C@H](NH)C(O)=O)c1ccccc1,CC(=O)O[C@@H]([C@H](N[*])C(O)=O)c1ccccc1 |$;;;;;;;_R1;;;;;;;;;$|,Backbone
EtCO_dPhe(4-Cl),CCOC(=O)N[C@H](Cc1ccc(Cl)cc1)C(H)=O,CCOC(=O)N[C@H](Cc1ccc(Cl)cc1)C([*])=O |$;;;;;;;;;;;;;;;;_R2;$|,Backbone
X1156,OC(=O)C[C@H](NH)C(=O)C1CCCCC1,OC(=O)C[C@H](N[*])C(=O)C1CCCCC1 |$;;;;;;_R1;;;;;;;;$|,Backbone
X1221,CCN[C@@H](CCC(O)=O)C(H)=O,CCN[C@@H](CCC(O)=O)C([*])=O |$;;;;;;;;;;_R2;$|,Backbone
X1028,CN(C)CCCCC[C@H]([N-][N+]#N)C(H)=O,CN(C)CCCCC[C@H]([N-][N+]#N)C([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone
X938,N[C@H](CCCCC(N)=N)C(H)=O,N[C@H](CCCCC(N)=N)C([*])=O |$;;;;;;;;;;_R2;$|,Backbone
X856,NCOCC[C@H](N)C(H)=O,NCOCC[C@H](N)C([*])=O |$;;;;;;;;_R2;$|,Backbone
X729,CC(C)(C)[C@H](NH)C=O,CC(C)(C)[C@H](N[*])C=O |$;;;;;;_R1;;$|,Backbone
X924,NC(=N)NCCC[C@H](CC(=O)[C@@H]1CCCN1H)C(O)=O,NC(=N)NCCC[C@H](CC(=O)[C@@H]1CCCN1[*])C(O)=O |$;;;;;;;;;;;;;;;;_R1;;;$|,Backbone
X931,OP(O)(=O)Cc1ccc(C[C@@H](NH)C(H)=O)cc1,OP(O)(=O)Cc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;;_R1;;_R2;;;$|,Backbone
X1907,COC(=O)C(=C)COC[C@@H](NH)C(H)=O,COC(=O)C(=C)COC[C@@H](N[*])C([*])=O |$;;;;;;;;;;;_R1;;_R2;$|,Backbone
