symbol,smiles,cxsmiles,monomer_type
X3001,CN1[C@H](C=CC[C@H](NH)C1=O)C1CCCCC1,"CN1[C@H](C=CC[C@H](N[*])C1=O)C1CCCCC1 |$;;;;;;;;_R1;;;;;;;;$,c:3|",Backbone
X5,CN=C(NCCCC[C@@H](NH)C(H)=O)NC#N;;;;;;;;;;;;;;;;,"CN=C(NCCCC[C@@H](N[*])C([*])=O)NC#N |w:1.0,$;;;;;;;;;;_R1;;_R2;;;;$|",Backbone
X1687,OC(=O)CCC=CC[C@H](NH)C(H)=O;;;;;;;;;;;;;,"OC(=O)CCC=CC[C@H](N[*])C([*])=O |w:6.6,$;;;;;;;;;;_R1;;_R2;$|",Backbone
X1759,CCC=CC[C@@H](C)[C@@H](O)[C@H](N(C)H)C(H)=O;;;;;;;;;;;;;;;,"CCC=CC[C@@H](C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:3.3,$;;;;;;;;;;;;_R1;;_R2;$|",Backbone
X1679,COC(=O)C=CC[C@@H](C)[C@@H](O)[C@H](N(C)H)C(H)=O;;;;;;;;;;;;;;;;;,"COC(=O)C=CC[C@@H](C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:5.5,$;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone
X20,HN[C@@H](CCCCNC(NC#N)=NC1CCCCC1)C(H)=O;;;;;;;;;;;;;;;;;;;;;,"[*]N[C@@H](CCCCNC(NC#N)=NC1CCCCC1)C([*])=O |w:12.12,$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone
X32,HN[C@@H](C=Cc1ccccc1)C(H)=O;;;;;;;;;;;;;,"[*]N[C@@H](C=Cc1ccccc1)C([*])=O |w:4.4,$_R1;;;;;;;;;;;;_R2;$|",Backbone
X2763,CC=C[C@H](NH)C(H)=O;;;;;;;;,"CC=C[C@H](N[*])C([*])=O |w:1.0,$;;;;;_R1;;_R2;$|",Backbone
X1372,Cc1c(Cl)cc2n(C)cc(C3=N[C@](C)(CO3)C(H)=O)c2c1O,"Cc1c(Cl)cc2n(C)cc(C3=N[C@](C)(CO3)C([*])=O)c2c1O |$;;;;;;;;;;;;;;;;;_R2;;;;$,t:10|",Backbone
X1349,CCCCN=C(NCCC[C@@H](NH)C(H)=O)NC#N;;;;;;;;;;;;;;;;;;,"CCCCN=C(NCCC[C@@H](N[*])C([*])=O)NC#N |w:4.3,$;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone
X233,CCC(=NH)C(H)=O;;;;;;;,"CCC(=N[*])C([*])=O |w:3.3,$;;;;_R1;;_R2;$|",Backbone
X1635,HN1C[C@@H](C[C@H]1C(H)=O)ON=Cc1ccc(OC(=O)c2ccc3OCOc3c2)cc1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,"[*]N1C[C@@H](C[C@H]1C([*])=O)ON=Cc1ccc(OC(=O)c2ccc3OCOc3c2)cc1 |w:10.10,$_R1;;;;;;;_R2;;;;;;;;;;;;;;;;;;;;;;$|",Backbone
X2677,COc1ccc(C=C2SC(=S)N([C@@H](Cc3ccccc3)C(H)=O)C2=O)cc1OC;;;;;;;;;;;;;;;;;;;;;;;;;;;;,"COc1ccc(C=C2SC(=S)N([C@@H](Cc3ccccc3)C([*])=O)C2=O)cc1OC |w:6.5,$;;;;;;;;;;;;;;;;;;;;;_R2;;;;;;;$|",Backbone
X1760,CC=CC[C@@H](C)[C@H](O)[C@H](N(C)H)C(H)=O;;;;;;;;;;;;;;,"CC=CC[C@@H](C)[C@H](O)[C@H](N(C)[*])C([*])=O |w:1.0,$;;;;;;;;;;;_R1;;_R2;$|",Backbone
X1670,CC=CC[C@@H](C)[C@@H](O)[C@H](N(C)H)C(H)=O;;;;;;;;;;;;;;,"CC=CC[C@@H](C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:1.0,$;;;;;;;;;;;_R1;;_R2;$|",Backbone
X354,Cn1cc(C2=N[C@](C)(CO2)C(H)=O)c2c(O)cc(Cl)cc12,"Cn1cc(C2=N[C@](C)(CO2)C([*])=O)c2c(O)cc(Cl)cc12 |$;;;;;;;;;;;_R2;;;;;;;;;$,t:4|",Backbone
X2091,CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C(H)=O,"CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C([*])=O |$;;;;;;;;;;;;_R2;$,t:6|",Backbone
X2229,OC(=O)C[C@H](NH)C(=O)COC1=C(Cc2ccccc2)C(=O)OC1,"OC(=O)C[C@H](N[*])C(=O)COC1=C(Cc2ccccc2)C(=O)OC1 |$;;;;;;_R1;;;;;;;;;;;;;;;;;$,c:11|",Backbone
X1348,CN1CN=C(C[C@H](N)C(H)=O)C1,"CN1CN=C(C[C@H](N)C([*])=O)C1 |$;;;;;;;;;_R2;;$,t:3|",Backbone
X190,CC1(C)C(=CC=CC=CC=CC2=[N+](CCC(=O)NC(=O)CNH)c3ccc4ccccc4c3C2(C)C)N(CCC(O)=O)c2ccc3ccccc3c12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,"CC1(C)C(=CC=CC=CC=CC2=[N+](CCC(=O)NC(=O)CN[*])c3ccc4ccccc4c3C2(C)C)N(CCC(O)=O)c2ccc3ccccc3c12 |w:4.4,6.6,8.8,10.10,$;;;;;;;;;;;;;;;;;;;;;;_R1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$,c:11|",Backbone
X2600,COc1ccc(C=C2SC(=S)N(CC(H)=O)C2=O)cc1OC;;;;;;;;;;;;;;;;;;;;;,"COc1ccc(C=C2SC(=S)N(CC([*])=O)C2=O)cc1OC |w:6.5,$;;;;;;;;;;;;;;_R2;;;;;;;$|",Backbone
X2639,NC1=NCC[C@@H](N1)[C@H](NC(=O)N[C@@H](Cc1ccccc1)C(O)=O)C(H)=O,"NC1=NCC[C@@H](N1)[C@H](NC(=O)N[C@@H](Cc1ccccc1)C(O)=O)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;;_R2;$,t:1|",Backbone
