symbol,smiles,cxsmiles,monomer_type,embedding_mean,embedding_std,embedding_norm,embedding_min,embedding_max
X2522,Cc1cn(CC(H)=O)c(=O)n(CC(O)=O)c1=O,Cc1cn(CC([*])=O)c(=O)n(CC(O)=O)c1=O |$;;;;;;_R2;;;;;;;;;;$|,Backbone,-0.0027646124,0.5947317,16.481867,-1.8468552,5.581035
X2558,FC(F)C[C@H](NH)C(=O)c1nc2ccccc2o1,FC(F)C[C@H](N[*])C(=O)c1nc2ccccc2o1 |$;;;;;;_R1;;;;;;;;;;;$|,Backbone,-0.0020998835,0.55116546,15.274457,-2.1412053,5.486403
X2292,COCCOCOc1ccc(Cl)cc1CN[C@@H](C(C)C)C(H)=O,COCCOCOc1ccc(Cl)cc1CN[C@@H](C(C)C)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0022129677,0.5587661,15.485103,-2.006194,6.4869905
X2293,COc1ccc(O)c(CN[C@@H](C(C)C)C(H)=O)c1,COc1ccc(O)c(CN[C@@H](C(C)C)C([*])=O)c1 |$;;;;;;;;;;;;;;;_R2;;$|,Backbone,-0.00237826,0.5345156,14.813078,-1.7152718,5.8077025
X2296,HC(=O)[C@@H](CCc1ccccc1)NC(=O)OCc1ccccc1,[*]C(=O)[C@@H](CCc1ccccc1)NC(=O)OCc1ccccc1 |$_R2;;;;;;;;;;;;;;;;;;;;;;$|,Backbone,-0.0025871117,0.58420223,16.190046,-2.8384836,7.1760845
X2353,C[C@H](NCC(=O)OC(C)(C)C)C(H)=O,C[C@H](NCC(=O)OC(C)(C)C)C([*])=O |$;;;;;;;;;;;;_R2;$|,Backbone,-0.0027141273,0.55905175,15.493078,-1.7266082,6.9886975
X2373,NCCCC[C@H](Nc1cccnc1)C(H)=O,NCCCC[C@H](Nc1cccnc1)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0029957916,0.61052483,16.919563,-3.1629107,9.545474
X2405,OC(=O)CN1C(=O)C[C@H](NC1=O)C(H)=O,OC(=O)CN1C(=O)C[C@H](NC1=O)C([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone,-0.0037449307,0.59840655,16.583855,-1.6983349,8.653298
X2452,NC(=N)N1CCC(CC[C@H](NH)C(H)=O)CC1,NC(=N)N1CCC(CC[C@H](N[*])C([*])=O)CC1 |$;;;;;;;;;;;_R1;;_R2;;;$|,Backbone,-0.0032492504,0.6019602,16.682253,-2.7224443,8.334239
X2348,CC(C)[C@H](NC(=O)OCC(C)(C)C)C(H)=O,CC(C)[C@H](NC(=O)OCC(C)(C)C)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0026984562,0.5676323,15.7308655,-1.8092521,6.2925773
X2370,CC(C)C[C@H](NC(=O)N1CCCCCC1)C(H)=O,CC(C)C[C@H](NC(=O)N1CCCCCC1)C([*])=O |$;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0034003106,0.5417081,15.012551,-2.5773325,6.9130454
X2351,OC(=O)C[C@H](NC(=O)N[C@@H](Cc1ccccc1)C(H)=O)C(O)=O,OC(=O)C[C@H](NC(=O)N[C@@H](Cc1ccccc1)C([*])=O)C(O)=O |$;;;;;;;;;;;;;;;;;;_R2;;;;$|,Backbone,-0.0031242997,0.5659458,15.68419,-1.5402073,6.5592427
X2334,HC(=O)[C@@H]1CCCCN1CC(=O)c1ccc2ccccc2c1,[*]C(=O)[C@@H]1CCCCN1CC(=O)c1ccc2ccccc2c1 |$_R2;;;;;;;;;;;;;;;;;;;;;$|,Backbone,-0.0019106393,0.5849384,16.210375,-2.4146492,5.993061
X2270,CN(C)c1cccc2c(cccc12)S(=O)(=O)N1CCC[C@H]1C(H)=O,CN(C)c1cccc2c(cccc12)S(=O)(=O)N1CCC[C@H]1C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0022375018,0.53614825,14.858307,-2.703528,5.84145
X535,CN(H)[C@@H](Cc1ccc(OS(O)(=O)=O)cc1)C(H)=O,CN([*])[C@@H](Cc1ccc(OS(O)(=O)=O)cc1)C([*])=O |$;;_R1;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0029385623,0.60374945,16.731794,-2.2470834,8.25892
X600,CC(C)C[C@@H](NC(=O)OCc1ccccc1)C(H)=O,CC(C)C[C@@H](NC(=O)OCc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.002888453,0.5972665,16.552128,-2.7529497,8.484473
X757,HN[C@@H](Cc1ccc(cc1)[N+]#N)C(H)=O,[*]N[C@@H](Cc1ccc(cc1)[N+]#N)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone,-0.0029451686,0.6275357,17.390972,-2.4721856,9.737639
X758,OC(=O)CC[C@H](NCCCc1ccccc1)C(H)=O,OC(=O)CC[C@H](NCCCc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0032004707,0.56332815,15.611659,-2.1484387,7.946947
X545,CC(C)(C)CNCCCC[C@H](NH)C(H)=O,CC(C)(C)CNCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;;_R1;;_R2;$|,Backbone,-0.0030270983,0.6043595,16.748713,-2.7114866,9.248066
X973,CCn1cnc(C[C@H](NH)C(H)=O)c1,CCn1cnc(C[C@H](N[*])C([*])=O)c1 |$;;;;;;;;;_R1;;_R2;;$|,Backbone,-0.0032711544,0.61495405,17.042349,-2.952024,9.692879
X547,NC(=O)Nc1ccc(C[C@@H](NH)C(H)=O)cc1,NC(=O)Nc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;_R1;;_R2;;;$|,Backbone,-0.0032748803,0.6265502,17.363705,-2.8166728,9.257882
X611,HN1C[C@@H](C[C@H]1C(H)=O)Oc1ccnc2ccccc12,[*]N1C[C@@H](C[C@H]1C([*])=O)Oc1ccnc2ccccc12 |$_R1;;;;;;;_R2;;;;;;;;;;;;$|,Backbone,-0.0024207775,0.6030716,16.712946,-2.842136,8.80881
lalloHyp,O[C@H]1C[C@H](N(H)C1)C(H)=O,O[C@H]1C[C@H](N([*])C1)C([*])=O |$;;;;;_R1;;;_R2;$|,Backbone,-0.0034990993,0.6277124,17.395947,-1.6914644,9.277795
X964,OC(=O)C[C@H](NH)C(=O)c1nccs1,OC(=O)C[C@H](N[*])C(=O)c1nccs1 |$;;;;;;_R1;;;;;;;$|,Backbone,-0.002904512,0.59374356,16.454502,-1.8843461,6.6335597
X965,C[C@H](NH)C(=O)C(O)=O,C[C@H](N[*])C(=O)C(O)=O |$;;;_R1;;;;;$|,Backbone,-0.0030163724,0.639012,17.709017,-2.2036607,7.5415974
X770,C[C@@H]([C@H](N)C(H)=O)c1ccc(O)cc1,C[C@@H]([C@H](N)C([*])=O)c1ccc(O)cc1 |$;;;;;_R2;;;;;;;;$|,Backbone,-0.0030862484,0.61680794,17.093699,-2.6089718,9.346116
X584,OC(=O)c1ccc(C[C@H](NH)C(H)=O)cc1O,OC(=O)c1ccc(C[C@H](N[*])C([*])=O)cc1O |$;;;;;;;;;;_R1;;_R2;;;;$|,Backbone,-0.0031012234,0.6248769,17.31731,-2.5885563,8.971882
dPhe(2-F),Fc1ccccc1C[C@@H](NH)C(H)=O,Fc1ccccc1C[C@@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone,-0.0034861416,0.62759274,17.39263,-2.7968094,9.684102
X3035,CC(C)NC(=S)NCCCC[C@H](NH)C(H)=O,CC(C)NC(=S)NCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,-0.0033297997,0.61176467,16.95397,-2.221921,8.948148
X2872,CC(C)C[C@H](NC(=O)NCCCCOS(O)(=O)=O)C(H)=O,CC(C)C[C@H](NC(=O)NCCCCOS(O)(=O)=O)C([*])=O |$;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.002621968,0.55729383,15.444351,-2.302356,5.9380608
X2519,CC(C)(C)c1[nH]c2c(cc(cc2c1C[C@H](NH)C(H)=O)C(C)(C)C)C(C)(C)C,CC(C)(C)c1[nH]c2c(cc(cc2c1C[C@H](N[*])C([*])=O)C(C)(C)C)C(C)(C)C |$;;;;;;;;;;;;;;;;_R1;;_R2;;;;;;;;;$|,Backbone,-0.0018985067,0.57784945,16.01392,-2.1733112,6.9857006
X2534,OC(=O)[C@@H](CC(=O)OCCc1ccc(F)cc1)NH,OC(=O)[C@@H](CC(=O)OCCc1ccc(F)cc1)N[*] |$;;;;;;;;;;;;;;;;;;_R1$|,Backbone,-0.0034220975,0.5500649,15.244141,-2.1149158,6.4397297
X2485,Fc1cn(CC(H)=O)c(=O)[nH]c1=O,Fc1cn(CC([*])=O)c(=O)[nH]c1=O |$;;;;;;_R2;;;;;;$|,Backbone,-0.0026787755,0.616293,17.079374,-1.8711143,6.6378922
X1579,C[C@@H]([C@@H](N)C(H)=O)c1c(C)cc(O)cc1C,C[C@@H]([C@@H](N)C([*])=O)c1c(C)cc(O)cc1C |$;;;;;_R2;;;;;;;;;;$|,Backbone,-0.0029689558,0.60279864,16.705448,-2.647403,8.64224
X1653,COC(=O)[C@H](C[C@@H]1CCNC1=O)NH,COC(=O)[C@H](C[C@@H]1CCNC1=O)N[*] |$;;;;;;;;;;;;;_R1$|,Backbone,-0.004228109,0.58153033,16.116268,-1.5772085,7.145423
